:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
HCR01_010,Open Disclosure and Duty of Candour,Concept,"Define open disclosure as the process of open and honest communication with patients and families when things go wrong in healthcare;Apply the Australian Open Disclosure Framework principles including acknowledgement, truthfulness, timeliness, apology or expression of regret, support, and integrated risk management and systems improvement;Describe the legal and ethical obligations for healthcare providers to disclose adverse events to patients and families in a timely manner;Develop an open disclosure plan for a serious adverse event including initial response, investigation updates, and final discussion of findings and improvements;Explain how effective open disclosure reduces litigation risk, maintains patient trust, and supports organizational learning;Document open disclosure processes in accordance with organizational policy and NSQHS Standard 1 Clinical Governance requirements",1.0.0,Understanding open disclosure and duty of candour: Define open disclosure as the process of open and honest communication with patients and families when things go wrong in healthcare,,2026-03-01,2026-03-01,,Intermediate,
HCR01_011,Just Culture and Safety Culture Principles,Concept,"Define just culture as an organizational culture that balances accountability with learning from errors and system improvement;Distinguish between human error requiring consolation and system review, at-risk behavior requiring coaching and removal of incentives for risk, and reckless behavior requiring remedial or disciplinary action;Describe how safety culture promotes reporting and learning rather than blame and punishment;Identify strategies for building just culture including leadership commitment, transparent communication, fair and consistent responses to incidents, and protection for staff who report safety concerns;Explain the relationship between just culture and incident reporting rates as a measure of organizational safety maturity",1.0.0,Understanding just culture and safety culture principles: Define just culture as an organizational culture that balances accountability with learning from errors and system improvement,,2026-03-01,2026-03-01,,Intermediate,
HCR01_012,Near Miss Reporting and Learning Systems,Concept,"Define near misses and good catches as situations where harm was prevented through early detection or intervention;Explain why near miss reporting provides valuable opportunities to identify and address system vulnerabilities before serious harm occurs;Develop organizational processes that encourage reporting of near misses through accessible reporting mechanisms and non-punitive responses;Analyze near miss data to identify patterns, trends, and opportunities for preventive actions;Implement feedback mechanisms to close the loop with staff who report near misses and demonstrate how their reports led to improvements",1.0.0,Understanding near miss reporting and learning systems: Define near misses and good catches as situations where harm was prevented through early detection or intervention,,2026-03-01,2026-03-01,,Intermediate,
HCR01_013,Risk Registers and Treatment Planning,Concept,"Maintain organizational risk registers at enterprise level and clinical service line level with consistent taxonomy and structure;Assign risk owners with accountability for monitoring and treating specific risks;Develop risk treatment plans specifying actions, responsibilities, timelines, and resources required to reduce risk to acceptable levels;Define key risk indicators and key performance indicators to monitor risk levels and treatment effectiveness over time;Establish review cycles for risk registers to ensure currency and relevance of risk information;Link risk register entries to assurance evidence including audit results, incident data, and compliance monitoring",1.0.0,Understanding risk registers and treatment planning: Maintain organizational risk registers at enterprise level and clinical service line level with consistent taxonomy and structure,,2026-03-01,2026-03-01,,Advanced,
HCR01_014,Risk Appetite and Tolerance Framework,Concept,Define risk appetite as the amount and type of risk an organization is willing to accept in pursuit of its strategic objectives;Explain risk tolerance as the acceptable variation in performance relative to achieving specific objectives;Develop organizational risk appetite statements aligned with strategic goals and values for different risk categories;Translate risk appetite into delegations of authority and escalation thresholds for operational decision-making;Apply risk appetite criteria to determine when risks require acceptance by executive leadership or board versus management-level treatment;Link risk appetite to resource allocation decisions and strategic planning processes,1.0.0,Understanding risk appetite and tolerance framework: Define risk appetite as the amount and type of risk an organization is willing to accept in pursuit of its strategic objectives,,2026-03-01,2026-03-01,,Advanced,
HCR01_015,Governance Reporting and Board Assurance,Concept,"Prepare risk reports for clinical governance committees including risk profile summaries, emerging risks, and treatment progress;Develop board-level risk reporting that highlights strategic risks, risk appetite alignment, and assurance gaps;Create assurance maps that identify sources of assurance for key risks across three lines of defense;Present risk information using heat maps, trend analysis, and key risk indicators to support governance decision-making;Explain the interface between risk management and internal audit functions in providing independent assurance;Document risk governance structures including committee terms of reference, reporting lines, and decision-making authorities",1.0.0,"Understanding governance reporting and board assurance: Prepare risk reports for clinical governance committees including risk profile summaries, emerging risks, and treatment progress",,2026-03-01,2026-03-01,,Advanced,
HCR01_016,Complaints and Consumer Feedback as Risk Signals,Concept,"Analyze patient and family complaints to identify patterns indicating systemic risks or service quality issues;Develop procedures for documenting and responding to complaints that promote patient satisfaction and reduce litigation risk;Establish response timeframes, staff responsibilities, and prescribed actions for different complaint severity levels;Integrate complaint data with incident data and other risk indicators to provide comprehensive risk intelligence;Apply NSQHS Standard 2 Partnering with Consumers requirements to complaint management and feedback processes;Use consumer feedback to co-design risk mitigation strategies and service improvements",1.0.0,Understanding complaints and consumer feedback as risk signals: Analyze patient and family complaints to identify patterns indicating systemic risks or service quality issues,,2026-03-01,2026-03-01,,Advanced,
HCR01_017,Mandatory Reporting and Legal Obligations,Concept,"Identify AHPRA mandatory reporting obligations for notifiable conduct and impairment of registered health practitioners;Describe Therapeutic Goods Administration reporting requirements for medical device incidents and adverse events following immunization;Explain Privacy Act 1988 requirements and Notifiable Data Breaches scheme obligations for health information security incidents;Identify state and territory mandatory reporting requirements for child protection and family violence;Describe workplace health and safety notification requirements for serious injuries, illnesses, and dangerous incidents;Explain credentialing and scope of practice processes as risk controls for clinical practice",1.0.0,Understanding mandatory reporting and legal obligations: Identify AHPRA mandatory reporting obligations for notifiable conduct and impairment of registered health practitioners,,2026-03-01,2026-03-01,,Advanced,
HCR01_018,Risk Management Information Systems and Data Quality,Concept,"Describe how Risk Management Information Systems provide platforms for documenting incidents, tracking risks, and reporting trends;Generate reports from RMIS including incident summaries, open claims, risk register status, and benchmarking data;Ensure data quality in risk and incident reporting systems through standardized taxonomies, validation rules, and governance processes;Develop dashboards for real-time monitoring of key risk indicators and incident trends;Apply privacy and security requirements to risk management data including access controls and de-identification where appropriate;Integrate RMIS data with other organizational systems including quality improvement databases and clinical information systems",1.0.0,"Understanding risk management information systems and data quality: Describe how Risk Management Information Systems provide platforms for documenting incidents, tracking risks, and reporting trends",,2026-03-01,2026-03-01,,Advanced,
HCR01_019,Business Continuity and Emergency Management,Concept,"Develop contingency plans for system-wide failures including electronic health record outages, cybersecurity incidents, and data breaches;Align emergency preparedness planning with Australasian Inter-service Incident Management System principles and state emergency management arrangements;Prepare business continuity plans for pandemic events, natural disasters, prolonged power loss, and mass casualty incidents;Establish incident management structures and communication protocols for activating emergency response;Test business continuity and emergency plans through exercises and incorporate lessons learned into plan updates;Coordinate emergency planning with external agencies including health departments, emergency services, and neighboring healthcare facilities",1.0.0,"Understanding business continuity and emergency management: Develop contingency plans for system-wide failures including electronic health record outages, cybersecurity incidents, and data breaches",,2026-03-01,2026-03-01,,Specialized,
HCR01_020,Risk Management Plan as Living Document,Concept,"Develop a comprehensive Risk Management Plan that defines purpose, scope, objectives, governance structure, and processes;Define roles and responsibilities for risk management including risk owners, risk coordinators, committee members, and executive accountability;Establish education and training requirements including new employee orientation, ongoing competency development, annual review, and event-specific training;Create communication protocols for risk information sharing including reporting channels, escalation pathways, and feedback mechanisms;Build in provisions for regular review and update of the Risk Management Plan based on emerging risks, lessons learned, regulatory changes, and organizational changes;Link the Risk Management Plan to NSQHS accreditation evidence requirements and quality improvement activities;Ensure the plan promotes a safe, no-blame culture through anonymous reporting capabilities and just culture principles",1.0.0,"Understanding risk management plan as living document: Develop a comprehensive Risk Management Plan that defines purpose, scope, objectives, governance structure, and processes",,2026-03-01,2026-03-01,,Specialized,
