":ID","name",":LABEL","understanding_criteria","schema_version","description","author","creation_date","last_updated","total_concepts:int","total_subconcepts:int"
"machine_learning_insights","Machine Learning Insights Curriculum","Curriculum","","1.1.0","A structured learning curriculum for machine learning concepts, designed for educational purposes. It includes core concepts, subconcepts, and fundamental definitions with understanding criteria.","AI Curriculum Design Team","2025-01-28","2025-07-28",10,34
"MLF_001_SC03_D05","Hierarchical learning: Learning in stages where simple concepts are combined step-by-step to understand increasingly complex ideas","Definition","Mentions 'stages', 'levels', or 'hierarchy';References 'simple to complex' or 'step-by-step';Includes 'combine' or 'build upon';Shows understanding of progressive learning;Indicates building complexity gradually",,,,,,,
"MLF_001_SC04","ML algorithms emerge from training on datasets iteratively without need for specific programming","SubConcept","Can explain that complex computer abilities appear naturally when simple rules are repeated many times;Understands that computers improve by practicing with examples and adjusting their internal settings;Recognizes that the system automatically fine-tunes itself to reduce errors and improve accuracy;Can describe how computers discover patterns directly from examples rather than being programmed with specific instructions;Shows understanding that repeated practice leads to stable performance that eventually stops improving significantly",,,,,,,
"MLF_001_SC04_D01","Emergent behavior: Complex abilities that appear naturally when simple rules are repeated many times, without being directly programmed","Definition","Mentions 'emerge', 'appear', or 'arise naturally';References 'simple rules' or 'basic operations';Includes 'complex behavior' or 'abilities';Shows understanding that complexity comes from simplicity;Indicates not directly programmed",,,,,,,
"MLF_001_SC04_D02","Training process: The method of improving computer performance by repeatedly showing it examples and adjusting its internal settings based on mistakes","Definition","Mentions 'training', 'learning', or 'improving';References 'examples', 'data', or 'practice';Includes 'adjust', 'change', or 'update';Shows understanding of improvement through repetition;Indicates learning from mistakes or feedback",,,,,,,
"MLF_001_SC04_D03","Parameter optimization: Automatic fine-tuning of a computer model's internal settings to minimize errors and improve accuracy","Definition","Mentions 'parameters', 'settings', or 'values';References 'optimize', 'tune', or 'adjust';Includes 'automatic' or 'automatically';Shows understanding of improving performance;Indicates reducing errors or increasing accuracy",,,,,,,
"MLF_001_SC04_D04","Data-driven learning: An approach where computers discover patterns and rules directly from examples rather than being given hand-written instructions","Definition","Mentions 'data', 'examples', or 'information';References 'discover', 'find', or 'learn';Includes 'patterns' or 'rules';Shows understanding of learning from data;Indicates not hand-programmed or explicitly coded",,,,,,,
"MLF_001_SC04_D05","Algorithmic convergence: The process where repeated practice leads to stable, consistent performance that stops improving significantly","Definition","Mentions 'convergence', 'stable', or 'consistent';References 'repeated practice' or 'training';Includes 'stops improving' or 'plateaus';Shows understanding of reaching stable state;Indicates end of significant learning progress",,,,,,,
"MLF_001_SC05","The field started in the 1940s but has progressed exponentially with modern graphic processing units","SubConcept","Can explain the evolution from simple mechanical calculators in the 1940s to today's powerful electronic computers;Understands that parallel processing allows many calculations to happen simultaneously rather than one after another;Recognizes that graphics processing units (GPUs) were originally made for video games but are perfect for machine learning;Can describe how computational complexity measures the resources needed as problems get bigger;Shows understanding that exponential growth means rapid acceleration where capabilities double at regular intervals",,,,,,,
"MLF_001_SC05_D01","Historical computing evolution: The development from simple mechanical calculators in the 1940s to today's powerful electronic computers","Definition","Mentions '1940s', 'history', or 'development';References 'mechanical' to 'electronic' progression;Includes 'calculators' to 'computers';Shows understanding of technological progression;Indicates dramatic improvement over time",,,,,,,
"MLF_001_SC05_D02","Parallel processing: The ability to do many calculations at the same time instead of one after another, like having many workers instead of one","Definition","Mentions 'parallel', 'simultaneous', or 'same time';References 'many calculations' or 'multiple operations';Includes comparison to 'many workers' or team analogy;Shows understanding of simultaneous vs sequential;Indicates faster processing through parallelism",,,,,,,
"MLF_001_SC05_D03","Graphics Processing Units (GPUs): Special computer chips originally made for video games that can do thousands of simple math operations simultaneously","Definition","Mentions 'GPU', 'graphics card', or 'computer chip';References 'video games' or 'graphics';Includes 'thousands' and 'simultaneous';Shows understanding of original gaming purpose;Indicates many simple operations at once",,,,,,,
"MLF_001_SC05_D04","Computational complexity: A measure of how much time and computer memory is needed as problems get bigger and more difficult","Definition","Mentions 'complexity', 'difficulty', or 'requirements';References 'time', 'memory', or 'resources';Includes 'bigger problems' or 'problem size';Shows understanding of scaling challenges;Indicates relationship between problem size and resources",,,,,,,
"MLF_001_SC05_D05","Exponential growth: A pattern where something doubles in size or capability at regular intervals, leading to extremely rapid increase over time","Definition","Mentions 'exponential', 'doubles', or 'rapid growth';References 'regular intervals' or 'time periods';Includes 'extremely rapid' or 'accelerating';Shows understanding of compounding growth;Indicates dramatic increase over time",,,,,,,
"MLC_002","Categories of Machine Learning Algorithms","Concept","Can distinguish between supervised learning (using labeled data with known answers), unsupervised learning (finding patterns in unlabeled data), and semi-supervised learning (combining both approaches);Understands that reinforcement learning involves sequential decision-making where agents learn through trial and error with rewards and penalties;Recognizes that deep learning uses multi-layered neural networks to automatically discover features and handle complex, multi-dimensional data;Can explain when to use each type of learning approach based on available data and problem requirements;Shows understanding that different learning paradigms are suited for different types of problems and data availability scenarios",,,,,,,
"MLC_002_SC01","Supervised Learning involves training using 'labeled data' where algorithms learn to map input data to known output","SubConcept","Can explain that supervised learning uses information that comes with both questions and correct answers;Understands that the goal is to learn the relationship between what goes in and what should come out;Recognizes that classification involves sorting things into different categories based on their characteristics;Can describe regression as predicting specific numbers or values rather than just categories;Shows understanding that labeled data provides examples of correct input-output pairs for learning",,,,,,,
"MLC_002_SC01_D01","Labeled data: Information that comes with both the question and the correct answer already provided","Definition","Mentions 'labels', 'answers', or 'correct output';References 'input and output' or 'question and answer';Includes 'known', 'provided', or 'given';Shows understanding that both parts are available;Indicates data includes the solution",,,,,,,
"MLC_002_SC01_D02","Mapping: Learning the relationship between what goes in and what should come out","Definition","Mentions 'relationship', 'connection', or 'mapping';References 'input to output' or 'cause and effect';Includes 'learn', 'understand', or 'figure out';Shows understanding of learning connections;Indicates finding patterns between input and output",,,,,,,
"MLC_002_SC01_D03","Classification: Sorting things into different categories or groups based on their characteristics","Definition","Mentions 'classify', 'categories', or 'groups';References 'sort', 'organize', or 'divide';Includes 'characteristics', 'features', or 'properties';Shows understanding of grouping similar things;Indicates assigning items to predefined classes",,,,,,,
"MLC_002_SC01_D04","Regression: Predicting a specific number or value rather than just a category","Definition","Mentions 'predict', 'estimate', or 'calculate';References 'number', 'value', or 'amount';Includes 'continuous' or 'specific quantity';Shows understanding of numerical prediction;Indicates forecasting measurable outcomes",,,,,,,
"MLC_002_SC02","Unsupervised Learning trains on 'unlabeled data' where machines discover patterns and relationships independently","SubConcept","Can explain that unsupervised learning works with information that only shows inputs without correct answers;Understands that machines must find hidden structures and patterns without being told what to look for;Recognizes that clustering automatically groups similar items together without knowing group names in advance;Can describe association as finding items that frequently appear together or are related;Shows understanding that pattern discovery happens independently without human guidance",,,,,,,
"MLC_002_SC02_D01","Unlabeled data: Information that only shows you the input without telling you what the correct answer should be","Definition","Mentions 'no labels', 'no answers', 'unlabeled';References 'input only' or 'no correct output';Includes 'unknown', 'hidden', 'not provided';Shows understanding that answers are missing;Indicates only raw information is available",,,,,,,
"MLC_002_SC02_D02","Pattern discovery: Finding hidden structures, groups, or trends in data without being told what to look for","Definition","Mentions 'discover', 'find', 'uncover';References 'hidden patterns', 'structures', 'relationships';Includes 'without guidance' or 'independently';Shows understanding of autonomous exploration;Indicates finding unexpected connections",,,,,,,
"MLC_002_SC02_D03","Clustering: Automatically grouping similar items together without knowing the group names in advance","Definition","Mentions 'cluster', 'group', 'organize';References 'similar items' or 'like things';Includes 'automatic' or 'without knowing groups';Shows understanding of natural grouping;Indicates finding similarity-based categories",,,,,,,
"MLC_002_SC02_D04","Association: Finding items that frequently appear together or are related to each other","Definition","Mentions 'association', 'together', or 'related';References 'frequently', 'often', or 'commonly';Includes 'co-occurrence' or 'appear with';Shows understanding of relationship detection;Indicates finding items that go together",,,,,,,
"MLC_002_SC03","Semi-supervised Learning leverages both labeled and unlabeled data paradigms when datasets are incompletely labeled","SubConcept","Can explain that semi-supervised learning uses both examples with answers and examples without answers in the same process;Understands that this approach is used when you have some examples with correct answers but many without;Recognizes that this method makes efficient use of expensive human labeling by combining it with abundant unlabeled data;Can describe scenarios where labeling all data would be too costly or time-consuming;Shows understanding that combining both data types can improve learning beyond using either type alone",,,,,,,
"MLC_002_SC03_D01","Mixed data approach: Using both examples with answers and examples without answers in the same learning process","Definition","Mentions 'both types', 'mixed', or 'combination';References 'labeled and unlabeled' or 'with and without answers';Includes 'same process' or 'together';Shows understanding of hybrid approach;Indicates using all available information",,,,,,,
"MLC_002_SC03_D02","Incomplete labeling: When you have some examples with correct answers but many examples without answers","Definition","Mentions 'incomplete', 'partial', or 'some labeled';References 'missing answers' or 'not all labeled';Includes 'many without' or 'few with answers';Shows understanding of partial information;Indicates common real-world data limitation",,,,,,,
"MLC_002_SC03_D03","Resource efficiency: Making the most of expensive human labeling by combining it with abundant unlabeled data","Definition","Mentions 'expensive', 'costly', or 'limited resources';References 'human effort' or 'manual labeling';Includes 'abundant', 'plenty', or 'lots of unlabeled';Shows understanding of practical constraints;Indicates economic considerations in data preparation",,,,,,,
"MLC_002_SC04","Reinforcement Learning involves sequential decision-making where machines learn through trial and error with rewards and penalties","SubConcept","Can explain that reinforcement learning involves making a series of choices over time where each choice affects future options;Understands that learning happens by trying different actions and seeing what happens, then adjusting based on results;Recognizes that the system receives positive feedback for good actions and negative feedback for bad actions;Can describe the relationship between a learner (agent) that takes actions in a world (environment) and receives feedback;Shows understanding that the goal is to learn which actions lead to the best long-term outcomes",,,,,,,
"MLC_002_SC04_D01","Sequential decisions: Making a series of choices over time where each choice affects future options","Definition","Mentions 'sequence', 'series', or 'over time';References 'multiple decisions' or 'chain of choices';Includes 'affects future' or 'consequences';Shows understanding of connected decisions;Indicates decisions build on each other",,,,,,,
"MLC_002_SC04_D02","Trial and error: Learning by trying different actions and seeing what happens, then adjusting based on results","Definition","Mentions 'trial and error', 'try different things', or 'experiment';References 'see what happens' or 'observe results';Includes 'adjust', 'change', or 'improve';Shows understanding of learning through experience;Indicates improvement through experimentation",,,,,,,
"MLC_002_SC04_D03","Reward system: Getting positive feedback for good actions and negative feedback for bad actions","Definition","Mentions 'rewards', 'feedback', or 'consequences';References 'positive and negative' or 'good and bad';Includes 'actions', 'choices', or 'decisions';Shows understanding of feedback-driven learning;Indicates behavior modification through consequences",,,,,,,
"MLC_002_SC04_D04","Agent environment: A learner (agent) that takes actions in a world (environment) and receives feedback","Definition","Mentions 'agent', 'learner', or 'decision maker';References 'environment', 'world', or 'setting';Includes 'takes actions' or 'interacts';Shows understanding of actor-world relationship;Indicates active participation in environment",,,,,,,
"MLC_002_SC05","Deep Learning uses neural networks with multiple hidden layers to handle complex multi-dimensional data","SubConcept","Can explain that deep learning uses many stacked levels of processing units, not just a single layer;Understands that hidden layers are processing levels between input and output that transform information in complex ways;Recognizes that complex data has many dimensions, features, or intricate patterns that simple methods cannot handle;Can describe how the system discovers important characteristics in data without human specification;Shows understanding that multiple layers enable learning of increasingly sophisticated patterns",,,,,,,
"MLC_002_SC05_D01","Multiple layers: Having many stacked levels of processing units, not just a single layer","Definition","Mentions 'multiple', 'many', or 'several layers';References 'stacked', 'deep', or 'hierarchical';Includes 'levels' or 'tiers';Shows understanding of vertical structure;Indicates more than simple single-layer processing",,,,,,,
"MLC_002_SC05_D02","Hidden layers: Processing levels between the input and output that transform information in complex ways","Definition","Mentions 'hidden', 'intermediate', or 'middle layers';References 'between input and output' or 'internal processing';Includes 'transform', 'process', or 'modify';Shows understanding of internal computation;Indicates invisible processing steps",,,,,,,
"MLC_002_SC05_D03","Complex data: Information with many dimensions, features, or intricate patterns that simple methods cannot handle","Definition","Mentions 'complex', 'complicated', or 'intricate';References 'many dimensions', 'features', or 'variables';Includes 'patterns', 'relationships', or 'structures';Shows understanding of data complexity;Indicates challenging information processing needs",,,,,,,
"MLC_002_SC05_D04","Automatic feature learning: The system discovers important characteristics in data without human specification","Definition","Mentions 'automatic', 'discovers', or 'learns features';References 'without human help' or 'no manual specification';Includes 'important characteristics' or 'relevant aspects';Shows understanding of autonomous discovery;Indicates system finds patterns independently",,,,,,,
"MLD_003","Data Preparation and Feature Engineering","Concept","Can identify and address data quality issues including missing values, inconsistencies, and outliers that could interfere with machine learning;Understands how to combine information from multiple sources and create unified datasets for comprehensive analysis;Recognizes the importance of reducing unnecessary features and noise while keeping essential information that matters for the task;Can explain how to convert categorical information into numerical format that computers can process mathematically;Shows understanding of proper data splitting into training, validation, and testing sets to ensure honest evaluation of model performance",,,,,,,
"MLD_003_SC01","Data quality assessment involves analyzing for missing values, inconsistencies, and outliers","SubConcept","Can identify gaps in data where information should be present but is missing or unavailable;Understands that inconsistencies occur when the same type of information is recorded differently in different places;Recognizes outliers as data points that are unusually different from most other data points;Can describe the importance of exploring data to understand its patterns, distributions, and characteristics;Shows understanding that data quality issues must be identified and addressed before machine learning",,,,,,,
"MLD_003_SC01_D01","Missing values: Gaps in your data where information should be but isn't available","Definition","Mentions 'missing', 'gaps', or 'empty spots';References 'no data', 'blank', or 'unavailable';Includes 'should be there' or 'expected information';Shows understanding of incomplete datasets;Indicates data collection problems",,,,,,,
"MLD_003_SC01_D02","Inconsistencies: When the same type of information is recorded differently in different places","Definition","Mentions 'inconsistent', 'different formats', or 'contradictory';References 'same thing recorded differently' or 'conflicting information';Includes 'formatting problems' or 'data entry errors';Shows understanding of data quality issues;Indicates need for standardization",,,,,,,
"MLD_003_SC01_D03","Outliers: Data points that are unusually different from most other data points","Definition","Mentions 'outliers', 'unusual', or 'extreme values';References 'very different', 'doesn't fit', or 'abnormal';Includes 'most other data' or 'typical pattern';Shows understanding of exceptional cases;Indicates values that stand out from the norm",,,,,,,
"MLD_003_SC01_D04","Data exploration: Looking through your data to understand its patterns, distributions, and characteristics","Definition","Mentions 'explore', 'examine', or 'investigate';References 'patterns', 'distributions', or 'characteristics';Includes 'understand', 'get familiar', or 'learn about';Shows understanding of preliminary analysis;Indicates systematic data examination",,,,,,,
"MLD_003_SC02","Feature aggregation combines data from multiple tables or sources","SubConcept","Can explain the process of bringing together information from different databases, files, or systems;Understands how to connect related information from separate tables based on common identifiers;Recognizes the goal of creating a single, unified view of data that was previously scattered;Can describe why combining multiple data sources often provides more complete information for machine learning;Shows understanding of the challenges involved in matching and merging data from different sources",,,,,,,
"MLD_003_SC02_D01","Combining sources: Bringing together information from different databases, files, or systems","Definition","Mentions 'combine', 'merge', or 'bring together';References 'different sources', 'multiple tables', or 'various systems';Includes 'databases', 'files', or 'datasets';Shows understanding of data integration;Indicates working with multiple information sources",,,,,,,
"MLD_003_SC02_D02","Data joining: Connecting related information from separate tables based on common identifiers","Definition","Mentions 'join', 'connect', or 'link';References 'related information' or 'common identifiers';Includes 'separate tables' or 'different datasets';Shows understanding of relational connections;Indicates matching records across sources",,,,,,,
"MLD_003_SC02_D03","Information consolidation: Creating a single, unified view of data that was previously scattered","Definition","Mentions 'consolidate', 'unify', or 'single view';References 'scattered', 'fragmented', or 'separate pieces';Includes 'unified', 'complete picture', or 'together';Shows understanding of data organization;Indicates creating comprehensive datasets",,,,,,,
"MLD_003_SC03","Dimensionality reduction eliminates irrelevant features and noise","SubConcept","Can explain that having too many characteristics or variables can confuse machine learning algorithms;Understands that irrelevant information doesn't help solve the problem and may actually hurt performance;Recognizes the importance of removing random variations and errors that don't represent true patterns;Can describe techniques like Principal Component Analysis that find the most important directions of variation in data;Shows understanding that the goal is to keep only essential features that actually matter for the task",,,,,,,
"MLD_003_SC03_D01","Too many features: Having more characteristics or variables than necessary, which can confuse learning","Definition","Mentions 'too many', 'excessive', or 'overwhelming features';References 'characteristics', 'variables', or 'dimensions';Includes 'confuse', 'complicate', or 'interfere with learning';Shows understanding of feature overload;Indicates more isn't always better",,,,,,,
"MLD_003_SC03_D02","Irrelevant information: Data that doesn't help solve the problem and may actually hurt performance","Definition","Mentions 'irrelevant', 'unhelpful', 'doesn't matter';References 'doesn't help', 'not useful', or 'unrelated';Includes 'hurt performance' or 'makes things worse';Shows understanding of information quality;Indicates need for selective data use",,,,,,,
"MLD_003_SC03_D03","Noise reduction: Removing random variations or errors that don't represent true patterns","Definition","Mentions 'noise', 'random variations', or 'errors';References 'remove', 'filter out', or 'clean';Includes 'true patterns' or 'real signal';Shows understanding of signal vs noise;Indicates improving data quality",,,,,,,
"MLD_003_SC03_D04","Principal Component Analysis: A technique that finds the most important directions of variation in data","Definition","Mentions 'PCA', 'principal components', or 'main directions';References 'most important variation' or 'key patterns';Includes 'reduce dimensions' or 'compress information';Shows understanding of dimensionality reduction technique;Indicates finding essential data structure",,,,,,,
"MLD_003_SC04","Feature encoding converts categorical variables to numerical for ML model consumption","SubConcept","Can explain that categorical variables represent categories or groups rather than numbers;Understands the need to turn category names into numbers that computers can work with mathematically;Recognizes that one-hot encoding creates separate yes/no columns for each category instead of using arbitrary numbers;Can describe why using arbitrary numbers for categories would create misleading mathematical relationships;Shows understanding that proper encoding preserves the categorical nature of the data while making it computer-readable",,,,,,,
"MLD_003_SC04_D01","Categorical variables: Information that represents categories or groups rather than numbers","Definition","Mentions 'categories', 'groups', or 'types';References 'not numbers', 'text labels', or 'names';Includes examples like 'colors', 'countries', or 'yes/no';Shows understanding of non-numerical data;Indicates descriptive rather than quantitative information",,,,,,,
"MLD_003_SC04_D02","Numerical conversion: Turning category names into numbers that computers can work with mathematically","Definition","Mentions 'convert', 'turn into numbers', or 'encode';References 'mathematical operations' or 'computer processing';Includes 'from text to numbers' or 'numerical representation';Shows understanding of computer requirements;Indicates transformation for computational use",,,,,,,
"MLD_003_SC04_D03","One-hot encoding: Creating separate yes/no columns for each category instead of using arbitrary numbers","Definition","Mentions 'one-hot', 'separate columns', or 'binary encoding';References 'yes/no', 'on/off', or '1/0 for each category';Includes 'avoid arbitrary numbers' or 'no false ordering';Shows understanding of proper categorical encoding;Indicates preventing misleading numerical relationships",,,,,,,
"MLD_003_SC05","Data splitting divides information into training, validation, and testing sets","SubConcept","Can explain that the training set is the portion used to teach the model patterns and relationships;Understands that validation data is used to tune and adjust the model during development without cheating;Recognizes that testing data is fresh information the model has never seen, used for final honest evaluation;Can describe the common 80/20 split where most data is used for training and smaller portion for testing;Shows understanding that separate datasets are essential for honest assessment of model performance",,,,,,,
"MLD_003_SC05_D01","Training set: The portion of data used to teach the model patterns and relationships","Definition","Mentions 'training', 'teach', or 'learn from';References 'patterns', 'relationships', or 'examples';Includes 'largest portion' or 'most of the data';Shows understanding of learning phase;Indicates primary dataset for model development",,,,,,,
"MLD_003_SC05_D02","Validation set: Data used to tune and adjust the model during development without cheating","Definition","Mentions 'validation', 'tuning', or 'adjustment';References 'during development' or 'while building';Includes 'without cheating' or 'fair evaluation';Shows understanding of honest assessment;Indicates separate data for model improvement",,,,,,,
"MLD_003_SC05_D03","Testing set: Fresh data that the model has never seen, used for final honest evaluation","Definition","Mentions 'testing', 'never seen', or 'fresh data';References 'final evaluation' or 'honest assessment';Includes 'completely separate' or 'held back';Shows understanding of unbiased evaluation;Indicates true performance measurement",,,,,,,
"MLD_003_SC05_D04","80/20 split: Common practice of using 80% of data for training and 20% for testing","Definition","Mentions '80/20', 'eighty-twenty', or specific percentages';References 'common practice' or 'typical split';Includes 'most for training' or 'smaller for testing';Shows understanding of standard proportions;Indicates balanced approach to data allocation",,,,,,,
"MLM_004","Model Selection and Performance Evaluation","Concept","Can explain that model selection requires experimental testing of different approaches because there's no universal best model for all problems;Understands that ensemble methods combine multiple weak models to create stronger overall predictions through collective decision-making;Recognizes that performance evaluation must match the problem type, using accuracy and precision for classification versus error measures for regression;Can describe how different models suit different dataset characteristics and computational constraints;Shows understanding that proper evaluation requires systematic comparison and consideration of both performance and practical implementation factors",,,,,,,
"MLM_004_SC01","Model selection is often experimental to find the best fit for specific problems and datasets","SubConcept","Can explain that trying different models is necessary because there's no way to know in advance which will work best;Understands that different types of problems need different types of models to solve them effectively;Recognizes that dataset characteristics like size and complexity affect which model will perform best;Can describe the process of systematically comparing multiple models to find the optimal choice;Shows understanding that model selection requires empirical testing rather than theoretical prediction",,,,,,,
"MLM_004_SC01_D01","Experimental approach: Trying different models to see which one works best, rather than knowing in advance","Definition","Mentions 'try different', 'experiment', or 'test various';References 'see which works best' or 'compare performance';Includes 'don't know in advance' or 'trial and error';Shows understanding of empirical testing;Indicates systematic comparison process",,,,,,,
"MLM_004_SC01_D02","Problem-specific fitting: Different types of problems need different types of models to solve them well","Definition","Mentions 'different problems', 'specific needs', or 'type of task';References 'different models' or 'various approaches';Includes 'best fit' or 'appropriate choice';Shows understanding of matching models to problems;Indicates no universal best model",,,,,,,
"MLM_004_SC01_D03","Dataset characteristics: The size, complexity, and nature of your data affects which model will work best","Definition","Mentions 'dataset size', 'data complexity', or 'data characteristics';References 'affects model choice' or 'influences selection';Includes 'small vs large data' or 'simple vs complex';Shows understanding of data-model relationship;Indicates data properties guide model choice",,,,,,,
"MLM_004_SC02","Ensemble learning combines multiple weak models simultaneously for better predictions","SubConcept","Can explain that ensemble methods use several different models together instead of relying on just one;Understands that individual models may be weak learners that are only slightly better than random guessing;Recognizes that when combined, weak models can create much stronger overall predictions;Can describe how ensemble methods like voting or averaging combine individual model predictions;Shows understanding that collective decision-making often outperforms individual model predictions",,,,,,,
"MLM_004_SC02_D01","Multiple models: Using several different models together instead of relying on just one","Definition","Mentions 'multiple', 'several', or 'many models';References 'together', 'combined', or 'at the same time';Includes 'instead of one' or 'not just single';Shows understanding of collective approach;Indicates team-based modeling",,,,,,,
"MLM_004_SC02_D02","Weak learners: Individual models that are only slightly better than random guessing","Definition","Mentions 'weak', 'simple', or 'basic models';References 'slightly better than random' or 'not very accurate alone';Includes 'individual performance' or 'on their own';Shows understanding of limited individual capability;Indicates models with modest individual performance",,,,,,,
