:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
CSCI_CC_001,Code Complete,Curriculum,,1.0.0,A dialogue about best practiecs for computer programming,,2025-12-27,2025-12-27,20,,
CSCI_CC_011,Comprehensive Testing Strategy,Concept,"Distinguish between unit tests, integration tests, contract tests, and end-to-end tests in terms of scope and purpose;Apply the test pyramid principle to balance test types, emphasizing fast unit tests with fewer slow integration tests;Design test cases that cover normal cases, boundary conditions, error conditions, and invalid inputs using arrange-act-assert structure;Implement automated unit tests that can be run repeatedly to catch regressions, using test doubles (mocks, stubs, fakes) appropriately;Write unit tests achieving comprehensive coverage of branches and paths for a given function, identifying all boundary and error cases",1.0.0,"Understanding comprehensive testing strategy: Distinguish between unit tests, integration tests, contract tests, and end-to-end tests in terms of scope and purpose",,2025-12-27,2025-12-27,,Intermediate,
CSCI_CC_012,Debugging Methodology and Techniques,Concept,"Apply the scientific method to debugging by forming hypotheses about defect causes and testing them systematically;Use debugging tools effectively including breakpoints, watch windows, and call stacks to understand program state;Stabilize errors by finding reproducible test cases before attempting to fix them;Locate defect sources by narrowing down the region of code where the defect occurs through binary search or other systematic approaches;Fix the problem not the symptom by understanding the root cause before making changes, then verify the fix resolves the issue",1.0.0,Understanding debugging methodology and techniques: Apply the scientific method to debugging by forming hypotheses about defect causes and testing them systematically,,2025-12-27,2025-12-27,,Intermediate,
CSCI_CC_013,Refactoring for Code Quality Improvement,Concept,"Define refactoring as improving code's internal structure without changing its external behavior;Identify code smells that indicate refactoring opportunities such as duplicated code, long methods, large classes, and feature envy;Apply specific refactoring techniques including Extract Method, Rename Variable, Move Method, and Replace Conditional with Polymorphism;Use automated tests to ensure refactoring does not introduce defects, running tests before and after each refactoring step;Recognize when to refactor continuously in small steps versus when to rewrite code that is fundamentally flawed",1.0.0,Understanding refactoring for code quality improvement: Define refactoring as improving code's internal structure without changing its external behavior,,2025-12-27,2025-12-27,,Advanced,
CSCI_CC_014,Performance Optimization Strategy,Concept,"Distinguish between performance improvement strategies: algorithm/data structure selection, system architecture, and code-level tuning;Apply the principle of optimizing at the right level: choose efficient algorithms first, then profile, then apply micro-optimizations;Identify performance bottlenecks through profiling before attempting optimizations rather than guessing;Measure performance before and after optimization to verify improvements using appropriate benchmarks;Balance performance improvements against code readability and maintainability costs, recognizing that premature optimization wastes effort",1.0.0,"Understanding performance optimization strategy: Distinguish between performance improvement strategies: algorithm/data structure selection, system architecture, and code-level tuning",,2025-12-27,2025-12-27,,Advanced,
CSCI_CC_015,Code Review Best Practices,Concept,"Define code review goals including defect detection, knowledge transfer, design quality improvement, and standards compliance;Apply systematic review checklists covering correctness, readability, tests, security, performance, and maintainability;Evaluate appropriate review size and latency to maximize effectiveness while minimizing delay;Provide constructive feedback that focuses on code rather than the author, suggesting improvements rather than just identifying problems;Given a code change, conduct a thorough review identifying issues across multiple categories and providing actionable improvement suggestions",1.0.0,"Understanding code review best practices: Define code review goals including defect detection, knowledge transfer, design quality improvement, and standards compliance",,2025-12-27,2025-12-27,,Advanced,
CSCI_CC_016,Version Control and Pull Request Workflow,Concept,"Explain the purpose of version control for tracking changes, enabling collaboration, and maintaining code history;Apply commit hygiene practices including atomic commits, descriptive commit messages, and logical change grouping;Compare branching strategies such as trunk-based development, GitFlow, and feature branches in terms of integration frequency and merge complexity;Describe an effective pull request workflow including branch creation, review request, addressing feedback, and merge criteria;Design a branching and PR strategy appropriate for a given team size, release cadence, and risk tolerance",1.0.0,"Understanding version control and pull request workflow: Explain the purpose of version control for tracking changes, enabling collaboration, and maintaining code history",,2025-12-27,2025-12-27,,Advanced,
CSCI_CC_017,Continuous Integration and Build Pipeline Design,Concept,"Define continuous integration as the practice of integrating and testing code changes frequently to detect integration issues early;Design a CI pipeline with appropriate stages including build, unit tests, integration tests, static analysis, and security scanning;Apply gating rules to determine which failures should block merges versus which should generate warnings;Explain the importance of reproducible builds using dependency lockfiles, versioned toolchains, and isolated build environments;Diagnose and triage CI pipeline failures systematically, distinguishing between code defects, flaky tests, and infrastructure issues",1.0.0,Understanding continuous integration and build pipeline design: Define continuous integration as the practice of integrating and testing code changes frequently to detect integration issues early,,2025-12-27,2025-12-27,,Advanced,
CSCI_CC_018,Secure Coding Practices,Concept,"Apply input validation and sanitization to prevent injection attacks (SQL injection, XSS, command injection);Implement secure secrets management by avoiding hardcoded credentials and using environment variables or secret stores;Apply the principle of least privilege when designing authentication and authorization mechanisms;Identify common vulnerability patterns in dependencies and apply strategies for dependency vulnerability management;Given a code scenario, identify security vulnerabilities and recommend specific secure coding patterns to address them",1.0.0,"Understanding secure coding practices: Apply input validation and sanitization to prevent injection attacks (SQL injection, XSS, command injection)",,2025-12-27,2025-12-27,,Advanced,
CSCI_CC_019,Observability and Production Error Handling,Concept,"Implement structured logging with appropriate log levels (debug, info, warn, error) and contextual information;Design error handling strategies that include logging errors with sufficient context for diagnosis while avoiding sensitive data exposure;Explain the role of metrics, distributed tracing, and logging in understanding system behavior in production;Apply practices for creating actionable logs that enable efficient troubleshooting without excessive noise;Design an observability strategy for a service including what to log, what metrics to track, and how to correlate events across distributed systems",1.0.0,"Understanding observability and production error handling: Implement structured logging with appropriate log levels (debug, info, warn, error) and contextual information",,2025-12-27,2025-12-27,,Specialized,
CSCI_CC_020,API Design and Interface Contracts,Concept,"Design API interfaces with clear contracts specifying inputs, outputs, error conditions, and side effects;Apply versioning strategies to maintain backward compatibility while evolving APIs over time;Implement idempotency for operations that may be retried to prevent unintended duplicate effects;Design pagination, filtering, and sorting mechanisms for APIs that return collections;Specify appropriate timeout and retry policies with exponential backoff for resilient API interactions",1.0.0,"Understanding api design and interface contracts: Design API interfaces with clear contracts specifying inputs, outputs, error conditions, and side effects",,2025-12-27,2025-12-27,,Specialized,
